"ds_evento","cd_movimento","cd_evento","ind_fluxo_ri","cd_tipo_complemento","ds_valor_complemento"
Arquivamento definitivo,"246",ARQ,N,,
Adiamento do processo em sessão,"873",AS,S,5033,adiado o julgamento
Adiamento do processo em sessão,"873",AS,S,5033,pedido de vista regimental
Baixa sem decisão do Recurso,"50087",BSDR,N,5023,
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Agravo de Instrumento em Agravo de Petição
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Agravo de Instrumento em Recurso Ordinário
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Agravo de Petição
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Recurso de Multa
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Recurso Ordinário
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Reexame Necessário
Baixa sem decisão do Recurso,"50087",BSDR,N,5024,Reexame Necessário/Recurso Ordinário
Conclusão para decisão da admissibilidade,"51",CADM,N,3,decisão
Conclusão para decisão da admissibilidade,"51",CADM,N,3,despacho
Conclusão para despacho,"51",CDESP,S,3,despacho
Conclusão para decisão ou voto (relatar),"51",CDV,N,3,decisão
Conclusão para decisão ou voto (relatar),"51",CDV,N,3,julgamento
Encaminhamento para o relator,"123",CEER,N,7,Órgão jurisdicional competente 
Encaminhamento para o relator,"123",CEER,N,18,para relatar
Conclusão para o presidente,"51",CP,N,3,decisão
Conclusão para o presidente,"51",CP,N,3,despacho
Conclusão para o presidente,"51",CP,N,3,julgamento
Conclusão para decisão de Recurso Interno,"51",CRI,S,3,decisão
Conclusão para decisão de Recurso Interno,"51",CRI,S,3,julgamento
Conclusão para revisar,"51",CRV,S,3,julgamento
Decisão da admissibilidade,"1059",DADM,N,5024,Recurso Ordinário
Decisão da admissibilidade,"230",DADM,N,5024,Recurso de Revista
Decisão da admissibilidade,"230",DADM,N,5024,Recurso Ordinário
Decisão da admissibilidade,"377",DADM,N,,
Decisão da admissibilidade,"431",DADM,N,,
Decisão da admissibilidade,"434",DADM,N,,
Decisão da admissibilidade,"50087",DADM,N,5023,
Decisão da admissibilidade,"50087",DADM,N,5024,Recurso de Revista
Decisão da admissibilidade,"50087",DADM,N,5024,Recurso Ordinário
Decisão da admissibilidade,"50088",DADM,N,5051,Agravo de Instrumento em Recurso Ordinário
Decisão da admissibilidade,"50088",DADM,N,5051,Apresentação de Procuração
Decisão da admissibilidade,"50088",DADM,N,5051,contestação
Decisão da admissibilidade,"50088",DADM,N,5051,Contrarrazões
Decisão da admissibilidade,"50088",DADM,N,5051,manifestação
Decisão da admissibilidade,"50088",DADM,N,5051,Manifestação
Decisão da admissibilidade,"50088",DADM,N,5051,natureza diversa
Decisão da admissibilidade,"50088",DADM,N,5051,Recurso Adesivo
Decisão da admissibilidade,"50088",DADM,N,5051,Recurso de Revista
Decisão da admissibilidade,"50088",DADM,N,5051,Solicitação de Habilitação
Decisão da admissibilidade,"50088",DADM,N,5052,Agravo
Decisão da admissibilidade,"50088",DADM,N,5052,Agravo de Instrumento em Recurso de Revista
Decisão da admissibilidade,"50088",DADM,N,5052,Agravo de Instrumento em Recurso Ordinário
Decisão da admissibilidade,"50088",DADM,N,5052,contrarrazões
Decisão da admissibilidade,"50088",DADM,N,5052,Contrarrazões
Decisão da admissibilidade,"50088",DADM,N,5052,Embargos de Declaração
Decisão da admissibilidade,"50088",DADM,N,5052,manifestação
Decisão da admissibilidade,"50088",DADM,N,5052,Manifestação
Decisão da admissibilidade,"50088",DADM,N,5052,natureza diversa
Decisão da admissibilidade,"50088",DADM,N,5052,petição inicial
Decisão da admissibilidade,"50088",DADM,N,5052,Recurso Adesivo
Decisão da admissibilidade,"50088",DADM,N,5052,Recurso de Revista
Decisão da admissibilidade,"50088",DADM,N,5052,Recurso Ordinário
Decisão da admissibilidade,"50088",DADM,N,5052,Solicitação de Habilitação
Decisão da admissibilidade,"50093",DADM,N,,
Decisão da admissibilidade,"50096",DADM,N,,
Decisão da admissibilidade,"804",DADM,N,5024,Recurso Ordinário
Decisão da admissibilidade,"944",DADM,N,,
Decisão colegiada terminativa,"11373",DCT,S,,
Decisão colegiada terminativa,"11795",DCT,S,,
Decisão colegiada terminativa,"198",DCT,S,,
Decisão colegiada terminativa,"200",DCT,S,,
Decisão colegiada terminativa,"219",DCT,S,5014,AÇÃO ANULATÓRIA DE CLÁUSULAS CONVENCIONAIS (976)
Decisão colegiada terminativa,"219",DCT,S,5014,AÇÃO RESCISÓRIA (47)
Decisão colegiada terminativa,"219",DCT,S,5014,AGRAVO REGIMENTAL TRABALHISTA (1005)
Decisão colegiada terminativa,"219",DCT,S,5014,CAUTELAR INOMINADA (183)
Decisão colegiada terminativa,"219",DCT,S,5014,CONFLITO DE COMPETÊNCIA (1145)
Decisão colegiada terminativa,"219",DCT,S,5014,CONFLITO DE COMPETÊNCIA (221)
Decisão colegiada terminativa,"219",DCT,S,5014,CONFLITO DE COMPETÊNCIA CÍVEL (221)
Decisão colegiada terminativa,"219",DCT,S,5014,DISSÍDIO COLETIVO (987)
Decisão colegiada terminativa,"219",DCT,S,5014,DISSÍDIO COLETIVO DE GREVE (988)
Decisão colegiada terminativa,"219",DCT,S,5014,HABEAS CORPUS (307)
Decisão colegiada terminativa,"219",DCT,S,5014,IMPUGNAÇÃO AO VALOR DA CAUSA (231)
Decisão colegiada terminativa,"219",DCT,S,5014,INCIDENTE DE UNIFORMIZAÇÃO DE JURISPRUDÊNCIA (233)
Decisão colegiada terminativa,"219",DCT,S,5014,MANDADO DE SEGURANÇA (120)
Decisão colegiada terminativa,"219",DCT,S,5014,PETIÇÃO CÍVEL (241)
Decisão colegiada terminativa,"219",DCT,S,5014,RECLAMAÇÃO (1202)
Decisão colegiada terminativa,"219",DCT,S,5014,RECURSO ORDINÁRIO (1009)
Decisão colegiada terminativa,"219",DCT,S,5014,RECURSO ORDINÁRIO EM PROCEDIMENTO SUMARÍSSIMO (11886)
Decisão colegiada terminativa,"219",DCT,S,5014,REEXAME NECESSÁRIO (1685)
Decisão colegiada terminativa,"219",DCT,S,5014,TUTELA ANTECIPADA ANTECEDENTE (12135)
Decisão colegiada terminativa,"219",DCT,S,5014,TUTELA CAUTELAR ANTECEDENTE (12134)
Decisão colegiada terminativa,"219",DCT,S,5014,
Decisão colegiada terminativa,"219",DCT,S,5023,Antecipação de Tutela
Decisão colegiada terminativa,"219",DCT,S,5023,Exceção de Incompetência
Decisão colegiada terminativa,"219",DCT,S,5023,Exceção de Suspeição
Decisão colegiada terminativa,"219",DCT,S,5023,Impugnação à Sentença de Liquidação
Decisão colegiada terminativa,"219",DCT,S,5023,
Decisão colegiada terminativa,"220",DCT,S,5014,AÇÃO ANULATÓRIA DE CLÁUSULAS CONVENCIONAIS (976)
Decisão colegiada terminativa,"220",DCT,S,5014,AÇÃO RESCISÓRIA (47)
Decisão colegiada terminativa,"220",DCT,S,5014,AGRAVO DE PETIÇÃO (1004)
Decisão colegiada terminativa,"220",DCT,S,5014,AGRAVO REGIMENTAL TRABALHISTA (1005)
Decisão colegiada terminativa,"220",DCT,S,5014,CAUTELAR INOMINADA (183)
Decisão colegiada terminativa,"220",DCT,S,5014,CONFLITO DE COMPETÊNCIA (1145)
Decisão colegiada terminativa,"220",DCT,S,5014,CONFLITO DE COMPETÊNCIA (221)
Decisão colegiada terminativa,"220",DCT,S,5014,CONFLITO DE COMPETÊNCIA CÍVEL (221)
Decisão colegiada terminativa,"220",DCT,S,5014,DISSÍDIO COLETIVO (987)
Decisão colegiada terminativa,"220",DCT,S,5014,DISSÍDIO COLETIVO DE GREVE (988)
Decisão colegiada terminativa,"220",DCT,S,5014,EXCEÇÃO DE INCOMPETÊNCIA (1232)
Decisão colegiada terminativa,"220",DCT,S,5014,EXCEÇÃO DE SUSPEIÇÃO (1231)
Decisão colegiada terminativa,"220",DCT,S,5014,HABEAS CORPUS (307)
Decisão colegiada terminativa,"220",DCT,S,5014,INCIDENTE DE ARGUIÇÃO DE INCONSTITUCIONALIDADE CRIMINAL (1178)
Decisão colegiada terminativa,"220",DCT,S,5014,PETIÇÃO (241)
Decisão colegiada terminativa,"220",DCT,S,5014,RECLAMAÇÃO (1202)
Decisão colegiada terminativa,"220",DCT,S,5014,RECURSO ORDINÁRIO (1009)
Decisão colegiada terminativa,"220",DCT,S,5014,RECURSO ORDINÁRIO EM PROCEDIMENTO SUMARÍSSIMO (11886)
Decisão colegiada terminativa,"220",DCT,S,5014,REEXAME NECESSÁRIO (1685)
